Et_family	RIL	code	DB	DH	DF	DM	NSPKPS	NSePS	SPL_cm	PH_cm	NTPP	TGW_gm	BM_ton_ha	GY_ton_ha	PVSfemale	PVSmale
1	60	1_60	69.18	72.63	78.74	126.6	17.5	32.7	5.625	99.98	4.216	35.19	10.642	2.807	2.944	2.832
1	61	1_61	68.92	72.42	77.81	125.1	17.78	30.37	5.776	99.89	3.846	36.88	9.141	1.766	2.542	2.504
1	62	1_62	64.88	68.6	74.53	120.8	16.87	30.76	5.021	93.16	4.172	31.04	7.315	1.409	2.477	2.766
1	63	1_63	77.04	81.46	87.89	135	17.72	28.75	5.432	102.78	3.757	40.65	8.989	1.078	1.649	2.124
1	64	1_64	58.72	62.78	68.49	120.2	16.35	33.55	5.747	93.7	4.967	34.22	8.31	1.429	2.512	2.816
1	65	1_65	62.2	66.3	72.34	125.3	14.53	32.61	5.314	93.23	4.575	37.15	9.013	1.668	2.402	2.575
1	66	1_66	64.99	69.43	75.29	125.3	16.84	41.09	5.511	90.74	4.722	32.59	5.613	1.307	2.656	2.95
1	68	1_68	74.71	79.2	84.13	128.9	18.53	37.55	5.401	100.65	4.372	40.96	7.726	1.692	2.912	2.568
1	69	1_69	61.54	66.12	71.98	121.2	17.11	28.87	5.535	92.69	4.745	39.43	6.933	1.42	2.533	2.47
1	70	1_70	65.18	72.4	79.02	125	16.61	30.3	5.137	86.43	4.161	32.92	5.094	0.862	1.157	1.521
1	73	1_73	69.54	72.56	77.77	125.4	18.01	41.09	6.239	98.74	4.247	30.67	7.91	1.645	2.138	2.106
1	75	1_75	81.6	85.93	90.93	136.7	19.27	38.59	5.566	109.56	4.03	36.46	9.855	1.503	1.53	1.722
1	76	1_76	60.24	64.81	71.25	119.1	15.94	26.05	5.114	91.94	4.171	37.18	6.795	1.863	2.348	3.245
1	77	1_77	75.28	80.24	86.07	132.6	17.08	23.71	5.498	90.48	4.053	28.23	6.117	0.867	1.576	1.591
1	78	1_78	70.72	75.6	80.64	128.3	19.12	37.9	5.904	100.41	3.902	33.95	7.467	1.45	2.624	2.439
1	79	1_79	64.23	71.61	77.1	125.1	17.43	33.47	5.487	100.94	3.854	42.08	7.637	1.26	2.518	2.274
1	80	1_80	71.35	74.53	81.07	130.1	17.85	29.8	5.661	92.15	4.961	30.51	6.788	1.095	2.333	2.201
1	81	1_81	72.52	75.87	81.12	131.1	17.26	30.67	5.21	97.12	4.506	34.13	9.199	3.157	2.639	2.506
1	82	1_82	76.38	81.66	87.09	132.8	18.16	34.92	5.464	94.08	4.447	23.88	8.176	1.073	1.857	1.87
1	83	1_83	63.48	68.13	74.46	123.6	15.95	33.85	5.368	96.82	5.448	36.76	9.096	1.864	2.552	2.669
1	84	1_84	60.05	64.96	69.44	120.2	16.67	31.81	5.107	99.72	4.532	34.9	7.161	1.311	2.235	2.326
1	87	1_87	71.23	74.89	81.13	127.4	18.07	30.57	6.058	111.06	4.445	31.94	8.669	1.285	2.082	2.054
1	88	1_88	62.84	67.31	73.4	120.7	17.08	31.89	5.146	97.94	4.197	37.44	6.687	1.376	2.331	2.602
1	89	1_89	66.67	70.68	79.19	126.8	15.67	37.2	4.975	91.68	4.523	35.35	8.26	1.696	3.06	2.893
1	90	1_90	55.77	60.37	68.96	119.7	16.56	32.9	5.701	89.35	3.967	39.25	6.31	1.262	2.49	2.832
1	91	1_91	64.54	68.99	73.35	123.8	16.35	37.82	5.579	91	4.447	35.03	8.333	1.628	2.879	3.555
1	92	1_92	76.26	83.22	88.72	129.8	16.52	27.86	5.285	105.87	4.544	35.69	8.176	1.209	2.097	2.084
1	93	1_93	66.47	70.31	76.44	124.4	16.23	31.2	6.24	96.16	3.946	33.12	8.1	1.835	2.669	2.542
1	94	1_94	67.05	70.72	75.44	124.3	17.83	32.32	6.197	106	4.594	31.37	7.803	1.412	2.203	1.596
1	95	1_95	61.14	65.97	71.15	122.1	16.5	30.16	5.165	93	4.828	31.32	6.449	1.446	2.152	2.679
1	96	1_96	63.9	68.06	73.67	119.9	16.13	26.57	5.673	107.76	4.514	37.39	7.568	1.562	2.661	2.758
1	97	1_97	71.16	75.09	81.36	123.9	17.63	40.94	5.649	109.19	4.348	30.07	7.165	1.367	3.442	3.559
1	100	1_100	60.48	64.98	71.25	119.3	17.34	32.1	5.572	93.21	4.457	33.56	7.548	1.802	3.382	3.598
1	101	1_101	68.56	72.21	78.5	125.6	19.01	35.84	5.674	105.72	4.376	30.27	9.311	1.629	3.035	2.801
1	103	1_103	63.54	67.46	73.74	122.6	15.96	26.61	5.371	97.04	5.032	42.77	6.562	1.128	2.573	2.823
1	105	1_105	65.04	68.74	74.03	122.6	17.15	32.2	5.232	92.47	4.292	30.18	6.026	1.344	2.737	2.323
1	107	1_107	70.64	74.7	80.6	127.7	17.06	43.03	5.392	95.75	4.073	28.79	9.65	1.596	3.593	3.81
1	108	1_108	63.62	67.52	74.12	123.1	16.2	38.14	5.685	89.6	4.087	28.99	7.798	1.706	2.375	2.367
1	110	1_110	68.82	72.71	78.77	123.9	14.54	34.36	5.465	96.51	4.398	27.45	7.281	1.239	2.457	2.846
1	111	1_111	66.89	70.62	78.94	121	19.31	36.47	6.366	114.76	4.358	38.2	8.74	1.563	2.566	3.178
1	112	1_112	59.47	64.53	69.47	118.2	16.37	26.67	5.217	97.06	4.015	38.78	6.726	1.366	2.603	3.035
1	113	1_113	56.38	60.23	67.08	117.9	15.8	26.16	5.007	98	4.539	34.96	4.542	1.227	1.964	2.33
1	114	1_114	58.34	62.44	67.98	118	15.84	36.59	5.624	92.84	4.424	35.1	6.996	1.894	2.482	2.567
1	115	1_115	60.29	64.61	71.04	119.7	17.51	39.73	6.377	104.64	4.105	37.5	8.128	1.687	2.744	3.212
1	116	1_116	68.18	72.64	77.95	126.6	17.16	32.5	5.591	112.97	4.696	34.83	8.401	1.876	3.179	3.239
1	118	1_118	63.81	67.51	74.21	125.4	15.39	24.63	5.461	90.46	4.934	35.7	7.074	1.311	2.3	2.059
1	128	1_128	74.07	78.67	84.18	131.6	18.19	39.57	5.083	110	4.283	33.15	8.915	1.339	2.953	2.781
1	152	1_152	64.48	68.38	73.78	120	17.19	27.13	5.711	94.64	4.392	32.56	5.015	1.071	1.942	2.072
1	161	1_161	69.62	73.64	79.25	122.5	17.01	31.37	6.015	98.89	4.601	29.34	6.585	1.146	1.942	1.839
1	172	1_172	60.95	65.49	70.1	120.7	15.48	30.49	4.628	94.02	4.718	30.56	6.839	1.027	2.555	3.066
3	1	3_1	60.74	64.85	70.35	120.9	15.99	36.98	5.001	93.77	4.502	33.81	6.801	1.686	2.41	2.76
3	2	3_2	67.65	71.83	78.29	126.9	17.49	34.52	5.37	92.7	4.799	31.04	8.743	1.894	2.84	2.353
3	3	3_3	71.55	75.16	81.79	126.4	19.09	31.14	5.474	98.97	4.534	34.14	8.518	1.429	1.85	2.112
3	4	3_4	60.74	64.82	69.47	122.5	17.42	28.6	5.312	94.63	4.051	36.45	7.35	1.636	1.796	2.475
3	5	3_5	58.63	63.36	69.23	117.1	15.71	34.16	5.13	85.32	3.874	32.29	5.174	1.386	2.174	2.324
3	6	3_6	72.6	77.01	82.12	129	17.6	26.18	5.507	96.63	4.191	32.23	6.292	1.006	2.146	2.289
3	7	3_7	79.07	84.26	89.91	130.9	17.79	28.99	5.357	91.01	4.353	31.78	6.356	1.012	1.556	1.615
3	8	3_8	76.36	81.08	87.14	131.7	17.94	25.14	5.792	101.24	4.242	32.31	7.021	1.231	2.387	2.37
3	9	3_9	60.88	66.34	70.71	121.2	16.47	33.24	5.252	86.49	4.149	25.72	6.276	1.211	2.086	2.295
3	11	3_11	74.41	78.73	84.96	129.6	18.05	27.1	6.871	93.73	4.521	37.33	7.089	1.375	1.82	1.864
3	12	3_12	72.38	75.75	80.46	131.9	17.77	33.48	5.872	104.98	3.884	34.16	7.184	1.323	2.149	2.126
3	13	3_13	64.16	67.98	72.46	120.8	17.55	34.81	5.208	83.51	4.166	33.66	5.777	1.259	2.49	2.698
3	14	3_14	58.97	63.3	69.21	119	15.55	31.58	5.055	91.47	4.423	32.95	6.639	1.511	2.668	2.493
3	15	3_15	60.53	64.74	69.79	121.1	17.29	33.43	5.139	85.43	3.906	36.53	6.495	1.64	2.473	2.522
3	16	3_16	63.43	67.54	72.79	121.2	16.65	31.62	5.804	87.97	5.21	27.53	6.855	1.242	2.198	2.214
3	17	3_17	66.62	70.37	75.59	124	16.57	38.42	5.841	94.64	5.148	34.06	6.446	1.278	2.293	2.159
3	19	3_19	64.14	68.94	75.21	121.5	16.51	33.12	5.236	97.25	5.789	33.8	7.061	1.501	2.89	2.793
3	20	3_20	62.69	67.21	72.01	121.3	16.75	37.5	5.047	89.42	4.892	32.84	6.685	1.634	2.078	2.34
3	21	3_21	62.99	67.28	72.49	123.5	17.01	30.63	4.892	84.18	4.55	38.08	6.355	1.405	2.379	2.119
3	22	3_22	73.87	78.06	83.69	131.3	16.5	33.32	5.799	98.57	4.474	34.74	6.867	1.305	2.441	2.269
3	23	3_23	63.12	67.11	72.53	120.5	16.61	29.79	5.209	90.31	4.615	34.88	7.564	1.629	2.635	2.706
3	24	3_24	62.75	67.13	71.83	121.5	16.9	33.23	5.851	96.01	4.588	36.13	6.168	1.394	2.728	2.768
3	25	3_25	58.45	63.54	68.72	126	15.04	32.9	5.153	87.87	4.993	38.5	6.863	1.75	2.37	2.622
3	26	3_26	56.72	60.71	67.45	119.5	16.63	25.73	4.849	81.67	5.065	35.99	5.735	1.456	1.966	1.992
3	27	3_27	79.05	83.27	88.45	130.7	18.07	28.79	6.108	94.21	4.332	31.34	7.122	0.811	1.64	1.886
3	28	3_28	62.78	66.94	71.38	120.1	16.49	37.26	5.902	86.93	4.082	30.28	5.867	1.461	1.937	1.806
