accession	DNAcode	newDNA	district	pop	NAM	imp	Year	ETH_par
5300	001ET	001ET_D	OR_ESH	pop10	0	0	NA	2
5314	002ET	002ET_D	OR_ESH	pop10	0	0	NA	2
5588	003ET	003ET_D	OR_NSH	pop12	0	0	NA	2
5611	004ET	004ET_D	OR_NSH	pop12	0	0	NA	2
5634	005ET	005ET_D	OR_NSH	pop12	0	0	NA	2
5654	006ET	006ET_D	OR_ESH	pop10	1	0	NA	2
5679	007ET	007ET_D	OR_NSH	pop12	0	0	NA	2
8019	009ET	009ET_D	OR_ESH	pop10	0	0	NA	2
8034A	010ET	010ET_B	OR_ESH	pop10	0	0	NA	2
8034B	011ET	011ET_D	OR_ESH	pop10	0	0	NA	2
8151	012ET	012ET_D	OR_NSH	pop12	0	0	NA	2
8205	013ET	013ET_D	AM_NSH	pop3	1	0	NA	2
8208	014ET	014ET_D	AM_NSH	pop3	1	0	NA	2
8210A	015ET	015ET_D	AM_NSH	pop3	1	0	NA	2
8436	017ET	017ET_B	SNNP	pop14	0	0	NA	2
204353	018ET	018ET_D	OR_WSH	pop13	0	0	NA	2
204488	019ET	019ET_D	OR_NSH	pop12	0	0	NA	2
204530	020ET	020ET_D	OR_NSH	pop12	0	0	NA	2
206548bl	021ET	021ET_B	TIG_S	pop17	0	0	NA	2
206551	022ET	022ET_D	TIG_S	pop17	1	0	NA	2
206554	023ET	023ET_D	TIG_S	pop17	1	0	NA	2
206556	024ET	024ET_D	TIG_E	pop16	0	0	NA	2
206567	025ET	025ET_D	AM_SG	pop4	0	0	NA	2
206690	026ET	026ET_D	AM_SG	pop4	0	0	NA	2
206700	027ET	027ET_D	AM_SG	pop4	0	0	NA	2
208136	028ET	028ET_D	AM_EG	Pop1	0	0	NA	2
208146	029ET	029ET_D	AM_EG	Pop1	0	0	NA	2
208155	030ET	030ET_D	AM_EG	Pop1	0	0	NA	2
208161	031ET	031ET_D	AM_EG	Pop1	0	0	NA	2
208167	032ET	032ET_B	AM_EG	Pop1	1	0	NA	2
208175	033ET	033ET_D	AM_EG	Pop1	0	0	NA	2
208189	034ET	034ET_D	AM_EG	Pop1	0	0	NA	2
208190	035ET	035ET_D	AM_EG	Pop1	0	0	NA	2
