entry	PW_T	PL_T	SEV_T
1_1	0.924285714	18.91428571	3.857142857
1_15	0.275	4.2	4.55
1_23	0.586153846	19.53846154	3.653846154
1_25	0.715	18.94444444	3.722222222
1_3	0.706666667	17.33333333	3.333333333
1_30	0.453333333	14.11111111	4.277777778
1_31	0.833	30.7	2.725
1_32	0.610526316	30.68421053	2.578947368
1_39	0.830714286	35.21428571	3.035714286
1_45	0.8115	34.55	2.775
1_47	0.819473684	32.52631579	3.078947368
1_66	0.637222222	11.05555556	4.333333333
1_80	0.5665	20.25	3.95
1_89	0.901	32.55	2.625
10_15	0.652857143	17.14285714	3.035714286
10_18	0.7215	19.55	2.95
10_29	0.912941176	30.88235294	2
10_36	0.459090909	14.36363636	3.772727273
10_37	0.79	26.76470588	2.294117647
10_38	0.919	28.25	2.55
10_41	0.524117647	28.94117647	2.647058824
10_43	0.735555556	23.44444444	3.444444444
10_47	0.892142857	28.14285714	2.785714286
10_5	0.8525	28.9375	2.40625
10_8	0.616153846	17.68461538	3.269230769
10_9	0.579411765	21.08823529	3.470588235
11_3	0.78	17.23529412	2.823529412
11_30	0.355555556	7	4.444444444
11_32	0.827894737	27	2.394736842
11_4	0.515714286	18.71428571	3.142857143
11_49	0.529090909	10.63636364	4.454545455
11_52	0.665	24.25	2.875
11_55	0.8495	30.25	2
11_61	0.793684211	29.73684211	2
11_63	0.554375	18.5	2.9375
11_65	0.469333333	17.46666667	3.233333333
11_7	0.793333333	20.6	3.3
11_71	0.721052632	30	2.210526316
11_74	0.607	18.6	3.55
12_1	0.863888889	36.11111111	1.777777778
12_104	0.828235294	28.58823529	2.558823529
12_117	0.7315	28.15	2.725
12_21	0.3975	8.125	4.625
12_34	0.947368421	34.26315789	2.421052632
12_37	1.016	28.25	2.4
12_39	0.77	28.75	2.40625
12_40	0.666	21.26666667	2.9
12_41	0.836666667	22.27777778	2.972222222
12_48	0.6165	26.2	2.7
12_66	0.77	23.68421053	3.473684211
12_84	0.867894737	31.52631579	2.157894737
12_86	0.560625	9.4375	4.125
13_107	0.936842105	23.10526316	2.815789474
