geneID	B73_C1	B73_C2	B73_C3	B73_I1	B73_I2	Mo17_C1	Mo17_C2	Mo17_C3	Mo17_I1	Mo17_I2	Mo17_I3
Zm00001d043089	35	28	36	47	54	10	5	9	8	6	6
ENSRNA049476774	0	0	0	0	0	0	0	0	0	0	0
Zm00001d015575	1	2	4	4	0	0	3	0	0	2	0
Zm00001d007251	27	35	65	47	38	58	53	31	45	52	34
Zm00001d015570	10985	14876	16919	12180	12443	12949	13225	13237	8552	7650	8885
Zm00001d015571	1757	2249	2819	2711	2803	2366	2878	2540	2133	2195	2951
Zm00001d007254	55	122	139	94	105	91	80	114	76	87	85
Zm00001d007255	171	306	335	235	268	246	250	188	182	181	232
Zm00001d007258	7	10	18	3	9	13	21	18	20	25	22
Zm00001d007259	243	328	364	227	271	409	445	382	273	212	294
Zm00001d015578	264	397	421	577	547	2115	1619	2002	2094	1979	2370
Zm00001d015579	0	0	5	0	4	9	12	8	10	7	17
Zm00001d019400	13	25	30	22	43	25	32	28	42	49	34
Zm00001d019403	15	21	20	22	21	29	22	23	28	35	41
Zm00001d019404	215	295	271	254	307	289	304	344	267	328	340
Zm00001d019405	20	20	34	49	29	20	68	32	27	20	30
Zm00001d019406	0	0	0	0	0	0	1	0	0	0	0
Zm00001d019407	0	0	0	0	0	0	0	0	0	1	0
Zm00001d019409	32	45	57	56	77	29	21	16	31	57	97
Zm00001d017347	1137	1578	1922	1622	1639	1791	1973	1745	1367	1563	1837
Zm00001d010200	271	337	379	485	416	364	442	444	285	301	475
Zm00001d005828	155	167	220	229	229	208	260	272	195	215	274
Zm00001d030083	86	183	191	217	170	230	212	207	189	239	252
Zm00001d043992	166	163	166	239	249	115	173	154	168	170	203
Zm00001d053240	0	0	0	0	0	0	0	0	0	0	0
Zm00001d053241	0	1	0	0	0	50	69	62	37	53	45
Zm00001d053242	2	0	0	0	0	0	0	0	0	0	0
Zm00001d053244	800	1249	1733	916	937	1017	1168	1037	802	679	988
Zm00001d053245	983	1233	1232	1018	1023	1305	1413	1299	1010	885	1249
Zm00001d053247	1499	1949	2193	1415	1394	1526	1947	1798	1080	987	1176
Zm00001d053249	5	12	9	15	14	0	0	4	2	0	4
Zm00001d022995	11	4	8	6	4	1	2	2	2	2	3
ENSRNA049475572	8	8	8	14	11	0	1	0	1	0	0
Zm00001d041979	231	307	424	395	409	335	386	450	417	481	577
Zm00001d007256	40	46	44	46	41	0	0	0	0	0	2
Zm00001d041977	30	28	28	35	0	55	62	53	60	69	80
Zm00001d041976	0	1	0	0	0	10	11	10	6	9	11
ENSRNA049457405	0	0	0	1	1	1	1	1	1	1	1
Zm00001d041973	482	661	788	637	746	733	755	736	690	701	858
Zm00001d041972	438	476	639	614	716	405	483	533	434	444	530
Zm00001d021318	590	814	1026	914	898	904	1115	1053	792	954	1061
Zm00001d001804	228	296	417	258	292	591	619	404	349	360	384
Zm00001d021313	425	652	847	633	605	661	628	615	475	484	617
Zm00001d021312	0	0	0	0	0	6	2	0	3	4	5
Zm00001d021311	0	0	0	0	0	0	0	0	0	0	0
Zm00001d015573	0	0	0	0	0	0	0	0	0	0	0
Zm00001d021316	0	0	0	0	0	0	1	0	0	0	0
