Name;ID;Status;Pedigree;Source;Center;Release Year;Agroecology;Region_1;Region_2;Region_3;Longitude;Latitude;Genetic cluster;Altitude;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;DH;DH.Adet;DH.Akaki;DM;DM.Adet;DM.Akaki;PH;PH.Adet;PH.Akaki;PL.x;PL.Adet;PL.Akaki;PBPM;PBPM.Adet;PBPM.Akaki;TT;TT.Adet;TT.Akaki;CLF;CLF.Adet;CLF.Akaki;CDF;CDF.Adet;CDF.Akaki;PW;PW.Adet;PW.Akaki;PY;PY.Adet;PY.Akaki;GY;GY.Adet;GY.Akaki;BY;BY.Adet;BY.Akaki;HI;HI.Adet;HI.Akaki;GFP;GFP.Adet;GFP.Akaki;GFR;GFR.Adet;GFR.Akaki;BPR;BPR.Adet;BPR.Akaki;PA;PA.Adet;PA.Akaki;PA.M;PA.W;PA.Adet.M;PA.Adet.W;PA.Akaki.M;PA.Akaki.W;OA;OA.Adet;OA.Akaki;OA.M;OA.W;OA.Adet.M;OA.Adet.W;OA.Akaki.M;OA.Akaki.W;lat;lon;DMSlat;DMSlon;altitude;Edate;Hdate;Mdate;GfilP;PL.y;NV;NVc;Plc;Gfpc;PCMdate;SBP;Ptype;SC;PCHdate;Edatec;Hdatec;Mdatec
9173;T_205;landrace;NA;EBI;NA;NA;SH3;Oromia;Misraq Harerge;Girawa;41.7875;9.185333333;6;2402;14.2;12.5;0.83;6.37;21.7;6.8;14.9;13.6;13.6;15;13.6;1007;215;8;71;469;58;318;469;44.83072343;45.19163296;44.64834991;103.5050739;101.9723726;104.0957619;74.0700138;85.95188634;62.00429382;25.996239;24.68998342;23.8452767;22.72701127;20.12280538;25.15307234;7.451326748;9.311277634;5.45405837;4.555366359;7.252694254;3.949561786;1.95982037;2.259147383;1.40836133;2.156081026;2.64715928;1.578786998;1.432156755;1.94177786;0.958730151;1391.079616;1754.716058;1026.332902;6429.151711;8302.587308;4721.045781;0.216832322;0.212508128;0.221519104;58.19526379;55.52931724;58.44184252;24.5407682;31.74373645;17.50786949;63.13896137;82.86307293;46.31157064;2.848907;2.450059332;3.159955143;2.779220614;2.879791537;2.810863121;2.415903108;2.943900655;3.408754249;3.176245093;3.398490889;2.769827981;3.062503093;3.372156921;3.175711405;3.610814151;2.581687755;3.072118645;9.185333333;41.7875;09 11.12;41 47.25;2402;7;54;98;44;36;6;3;3;2;3;3;2;3;7;2;3;3
9174;T_206;landrace;NA;EBI;NA;NA;SM2;Oromia;Misraq Harerge;Girawa;41.77216667;8.988166667;4;1931;17.8;12.5;0.82;6.93;25.6;10.5;15.1;17.1;17.2;18.7;17.1;853;145;8;61;359;48;285;359;63.71548352;63.34048399;63.46467626;106.6328561;106.9006681;104.9820229;80.35285713;109.4579729;57.4618113;34.85484483;48.55317232;26.44339358;21.82244329;21.36479827;21.28331578;7.144035273;8.519561682;4.976971271;4.604034748;8.690077711;2.969607655;2.003894255;2.656156466;1.484930887;2.107274841;2.691893379;1.358034259;1.451840821;2.16776427;0.821709127;1693.41076;2057.646499;1332.09072;8132.201098;9975.022558;6057.060459;0.211427741;0.205675032;0.217694506;43.39105587;44.87354992;43.06758299;38.95193188;46.37631302;31.36691617;76.0239757;93.57618466;57.69867048;3.710635435;4.085882322;3.631043443;3.710584257;3.758205733;4.026406116;3.711681194;3.122664805;3.61614844;3.942464642;4.063512492;3.736362443;3.956164771;3.845334978;3.816534489;4.128665637;4.083303207;3.381308382;8.988166667;41.77216667;08 59.29;41 46.33;1931;7;57;120;63;38;5;3;3;3;4;4;5;5;6;2;3;3
9179;T_207;landrace;NA;EBI;NA;NA;SH3;Oromia;Misraq Harerge;Meta;41.559;9.2715;6;2524;13.7;12.7;0.81;6.78;21.6;6.1;15.5;13.5;12.9;14.6;12.9;1133;259;9;75;577;62;325;62;44.83072343;44.71403161;45.13081981;97.73070693;97.49210386;97.89193503;63.4964482;70.281162;46.10560498;27.9322257;26.98792013;27.0929228;20.70680944;14.57523716;25.15307234;6.990389536;6.804177118;5.93114547;4.014606482;3.838908545;2.927000954;1.90252432;1.512392202;1.542358054;2.049927575;2.468222881;1.371279423;1.28297226;1.475969138;0.76233335;1151.353922;1514.515167;783.8901159;6893.619937;8720.700301;5121.846577;0.173595675;0.181759195;0.164150135;52.64368582;51.9773948;52.2090346;21.96652156;29.09520387;15.06757223;70.59125157;89.59009555;52.38185698;3.081005596;2.465788399;3.884706373;2.911256556;3.123805805;2.769658273;2.502288314;3.199278012;3.754411235;2.857811624;2.925975539;2.725894596;2.913559375;2.858197898;3.124445559;2.614945908;2.140036151;3.319470435;9.2715;41.559;09 16.29;41 33.54;2524;7;46;97;51;28;2;1;2;3;3;2;2;3;3;2;3;3
9394;T_362;landrace;NA;EBI;NA;NA;SM3;Tigray;Mehakelegnaw;Axum;38.793;14.138;1;2132;18.3;15.9;0.7;15.25;29.3;6.6;22.7;17.6;16.7;20.5;16.7;640;212;1;131;475;6;67;16;63.71548352;63.34048399;63.46467626;104.7080671;105.1085607;103.2095009;79.40276863;105.7707436;58.27945815;33.88685148;46.34361779;25.79386436;25.13919255;29.23075321;22.57323464;7.466691322;10.03701726;4.857699496;4.3769156;6.89334839;2.884394253;2.027694153;2.736503543;1.661997987;2.302499579;2.60242518;2.152744119;1.503640993;2.121644594;1.095751176;1823.197856;2187.690865;1463.348846;8519.258727;10323.44936;6391.063126;0.215030795;0.20909158;0.221519104;41.54052988;43.29491773;41.40550088;43.99884053;51.51944637;36.20146733;81.23281128;98.33403153;61.88720669;3.674356951;4.054424187;3.558568319;3.620970518;3.794468363;3.964598845;3.740476263;3.046051597;3.650714139;3.882374004;3.608497711;4.395363213;3.46677921;4.194350853;3.150078482;4.128665637;4.34829417;4.123363752;14.138;38.793;14 08.28;38 47.58;2132;7;50;102;52;40;4;3;3;3;4;3;2;4;5;2;3;3
9410;T_363;landrace;NA;EBI;NA;NA;SM3;Tigray;Mehakelegnaw;Laelay Maychew;38.65316667;14.05616667;3;2074;19.1;16;0.7;15.44;30.3;7.6;22.7;18.6;17.8;21.3;17.6;690;231;1;135;522;5;64;16;55.37675829;55.22126116;55.26268785;98.93370006;98.83618447;98.77819601;79.44874065;105.1254785;59.05168018;31.45220153;40.6871582;24.25123246;22.8777726;23.43478641;22.14326169;8.119685706;9.674147446;7.720222093;4.328247211;5.635637866;3.693921578;2.011827554;2.192979202;2.040060175;2.107274841;2.870829778;1.181432068;1.420760718;2.121644594;0.730361777;1750.670447;2115.019688;1389.999398;8054.792823;9905.340543;5990.26233;0.218633849;0.212508128;0.225343702;43.85368737;44.47889187;44.31414457;40.07167145;48.2099125;31.73526292;81.28307197;99.8934596;60.45754027;3.205966537;3.189325491;3.268667827;3.267452289;3.13870712;3.511345525;2.790239;2.96943839;3.477885646;4.174140615;4.063512492;4.395363213;3.871054213;4.382452445;3.714002796;4.288004556;4.083303207;4.308877594;14.05616667;38.65316667;14 03.37;38 39.19;2074;7;57;106;49;42;2;1;3;2;4;3;4;5;6;2;3;3
9444;T_431;landrace;NA;EBI;NA;NA;SM2;Tigray;Semien Mi'irabaw;Shiraro;37.992;14.45;4;1476;25.4;16.7;0.67;23.94;38.2;13.5;24.7;25;24.1;28.9;23.4;776;245;0;133;587;2;162;583;40.66136081;40.89322087;40.78859065;87.38496603;88.08353958;88.14306427;62.11728747;65.21122177;47.01410149;23.03359267;20.18249218;19.78571907;19.410262;15.9828291;19.99339693;6.713827208;5.484650531;6.050417245;3.917269704;3.120216817;2.841787551;1.892828065;1.569107786;1.379647746;2.119476388;2.468222881;1.622937546;1.431120752;1.844926542;1.050077501;1189.525519;1552.76243;822.4943568;6196.917598;8093.532902;4520.643379;0.193412471;0.195425387;0.190922321;46.62947635;46.84684017;46.80726774;25.4896609;33.42340412;17.69204287;70.69177296;91.32058334;50.87104733;2.67122613;2.481517466;2.543916596;2.538158818;2.877748277;2.666646155;2.675058725;2.714061033;3.13222866;2.435606773;2.243453367;2.769827981;1.892232637;3.118062458;1.919698161;2.933623746;2.05170583;3.44314633;14.45;37.992;14 27.00;37 59.52;1476;6;42;84;42;25;3;2;2;1;4;2;2;2;6;2;1;1
9447;T_432;landrace;NA;EBI;NA;NA;SM3;Tigray;Semien Mi'irabaw;Kafta Humera;38.35833333;14.1555;1;2188;17.8;15.6;0.71;15.31;28.8;7.1;21.7;17.2;16.7;20;16.4;796;272;0;136;611;1;166;12;45.5664933;45.6692343;45.61328972;94.36232617;95.69999637;93.46063014;63.63436427;70.37334273;46.42357876;22.47626317;21.59660708;16.94402873;22.75716354;26.00157171;19.13345103;7.205493568;6.078437495;7.422042656;3.863193717;3.075298584;2.458327239;1.965109236;2.259147383;1.465788498;1.851042373;2.199818283;0.916528781;1.216668039;1.568208489;0.378674481;1047.141293;1452.552122;635.643901;6429.151711;8302.587308;4721.045781;0.168191094;0.185175743;0.148851744;48.71131809;49.60944651;47.6383088;21.28313411;29.43023193;13.36396849;67.88859697;86.95657162;50.36873211;2.672379057;2.921931348;1.92787805;2.791604176;2.713709926;3.161104323;2.790239;2.586372355;2.717440277;2.278139279;2.575964169;1.715426749;2.594394494;2.086427778;2.893749248;2.176763882;1.610054227;2.268225328;14.1555;38.35833333;14 09.33;38 21.5;2188;6;45;98;53;24;2;1;2;3;4;3;2;1;6;2;2;3
9469;T_58;landrace;NA;EBI;NA;NA;M3;Amhara;Semen Gondar;Chilga;37.05333333;12.353;5;1916;19.8;13.6;0.74;12.46;29.6;11.4;18.2;18.4;19.8;21.5;18.3;1171;325;2;117;832;11;112;777;46.05700655;46.14683564;46.09575963;94.12172755;94.35591576;94.34689112;80.50609721;101.6226107;65.63827984;30.42554191;34.50040552;27.0929228;22.99838166;22.109994;23.86315349;7.574243338;7.6618694;7.422042656;4.252540828;5.545801399;3.182641162;2.038271885;2.528546404;1.987418604;2.082871749;2.468222881;1.490485902;1.397968642;1.891046217;0.858248067;1334.584919;1698.109374;969.1978845;7938.673444;9661.440948;6023.661394;0.177198729;0.185175743;0.167974733;48.01737085;48.03081431;48.05382932;27.9669404;35.65541534;20.36255684;84.63683102;102.2684049;63.82305231;3.262334821;2.906202281;3.848468812;3.230719886;3.189210625;3.243514017;2.646263657;3.199278012;3.719845536;3.166712921;2.925975539;3.604562289;2.871004629;3.447714581;2.791217555;3.132797394;3.111669679;3.876011962;12.353;37.05333333;12 21.18;37 03.20;1916;7;45;81;36;20;2;1;1;1;4;2;2;4;4;2;2;1
9477;T_63;landrace;NA;EBI;NA;NA;M3;Amhara;Semen Gondar;Maksegnit;37.50416667;12.436;3;1926;20.1;14.3;0.76;13.94;30.1;11.3;18.8;18.7;20;22.1;18.5;1074;315;2;119;770;12;114;727;44.09495356;44.23643027;44.16588;87.86616328;88.53156645;88.58619476;71.4342844;89.54693487;50.64808751;27.75622691;31.76055791;22.22145365;22.60640221;25.17357645;19.56342398;7.466691322;7.266011424;7.362406768;4.349877606;6.578920759;2.969607655;1.977449924;2.26859998;1.590214028;2.290298033;3.005032077;1.711238641;1.576161234;2.628961024;0.913056477;1314.73184;1678.216941;949.1197878;6661.385824;8511.641714;4921.448183;0.202420106;0.202258483;0.202396114;43.85368737;44.47889187;44.31414457;29.96861918;38.31300273;21.65177049;75.6561588;95.55331667;55.15618263;3.067667636;3.36234523;2.580154158;3.185452782;3.057018163;3.531947948;3.078189686;2.816211976;3.028531565;3.205687199;3.468493163;2.725894596;3.25400209;3.197648983;3.278243099;3.610814151;3.023339359;2.70109096;12.436;37.50416667;12 26.16;37 30.25;1926;5;45;81;36;29;3;2;2;1;4;3;3;5;4;1;2;1
9482;T_118;landrace;NA;EBI;NA;NA;M3;Amhara;Semen Gondar;Addis Zemen;37.685;12.17366667;3;1973;19.6;15.2;0.77;11.88;29.8;10.2;19.6;18.5;20.2;21.3;18.2;1076;341;3;128;795;10;75;782;44.09495356;44.23643027;44.16588;91.71574129;92.11578141;92.13123867;70.20836375;84.01609098;52.46508052;28.04955823;31.76055791;23.03336517;23.78234058;25.91877218;22.14326169;7.313045584;8.189680035;5.93114547;4.371508001;6.938266623;2.79918085;1.84478753;1.394234737;1.03508474;2.326902671;2.826095678;2.020292476;1.493280959;2.26000362;0.913056477;1311.681044;1675.160098;946.0344134;6351.738792;8232.901112;4654.243644;0.20602316;0.205675032;0.206220712;47.55473935;47.63615626;47.6383088;27.70605263;35.46073687;20.04025343;69.17938298;89.20023854;50.37259607;2.972651824;3.016305751;2.761341966;3.018776262;2.984162686;3.284718864;2.790239;2.816211976;3.201360058;2.836816063;2.820972128;2.85769475;2.871004581;2.80587674;2.816850478;2.853954287;3.023339359;2.886604803;12.17366667;37.685;12 10.42;37 41.10;1973;8;51;101;50;27;4;3;2;3;4;2;1;1;6;2;3;3
