Accession;Region;Zone;District;Locality;Lat;Long;Edate;Hdate;Mdate;GfilP;PL;Ptype;SC
9172;Oromiya;West Welega;BEDENO;20 Km South of Bedeno town on the way to Goloda wered;08-07-49-N;41-34-21-E;7;57;117;60;42;5;5
9173;Oromiya;West Welega;GIRAWA;Rasa janeta kebele 9.5 km North of Girawa town on the way to;09-11-12-N;41-47-25-E;7;54;98;44;36;2;3
9174;Oromiya;West Welega;GIRAWA;Chulul jiru  Berina kebele 26 km N.east of Girawa town;08-59-29-N;41-46-33-E;7;57;120;63;38;5;5
9175;Oromiya;West Welega;GIRAWA;Lafto heletaise kebale 18 km N.east of Girawa town;09-02-49-N;41-45-49-E;8;57;117;60;36;5;5
9176;Oromiya;West Welega;GIRAWA;Lafto somolo to kebele 16 km N.east of Girawa town;09-04-30-N;41-46-02-E;7;50;98;48;36;2;4
9177;Oromiya;West Welega;GORO GUTU;Werji Jallela kebele 2 km north of Boreda to;09-19-33-N;41-16-18-E;5;45;97;52;20;2;3
9179;Oromiya;West Welega;META;Chefa aneni kebele 20 km from Cherenko town;09-16-29-N;41-33-54-E;7;46;97;51;28;2;3
9392;Tigray;Central Tigray;AXUM;Endayesus 18km from Adwa on the way to the main road S.W Axu;14-08-33-N;38-47-56-E;6;45;94;49;20;3;3
9393;Tigray;Central Tigray;AXUM;Endayesus 10 km from Adwa on the way to S.W Axum;14-08-33-N;38-47-56-E;7;52;98;46;18;2;3
9394;Tigray;Central Tigray;AXUM;Endayesus 12 km from Adwa on the way to S.E Axum;14-08-28-N;38-47-58-E;7;50;102;52;40;2;4
9395;Tigray;Central Tigray;ADI ABUN;Lakia 5 km from Axum to Adua;14-08-21-N;38-47-36-E;6;56;102;46;33;2;4
9396;Tigray;Central Tigray;LAELAY MAYCHEW;Zorat Dibdibo 4 km from Axum to Adua;14-08-6-N;38-46-54-E;7;48;98;50;46;3;4
9397;Tigray;Central Tigray;LAELAY MAYCHEW;Laila Mychew 3 km Hassebo 3 km Axum to Adua;14-08-6-N;38-46-08-E;7;48;94;46;42;3;4
9398;Tigray;Central Tigray;LAELAY MAYCHEW;Lesalso 3 km Axum to Adua Norther of the Airport;14-08-29-N;38-46-47-E;7;48;94;46;26;3;1
9399;Tigray;Central Tigray;LAELAY MAYCHEW;Lesalso 3km from  Axum to Adua Norther of Axum Airport;14-08-29-N;38-46-47-E;7;50;101;51;25;3;4
9400;Tigray;Central Tigray;LAELAY MAYCHEW;Ade dege 5 km from Axum Norther of Axum near the Airport;14-09-12-N;38-46-28-E;8;55;102;47;28;3;4
9401;Tigray;Central Tigray;LAELAY MAYCHEW;Daeromesh 1 1/2 km from Axam to Adwa;14-07-29-N;38-45-32-E;7;48;98;50;32;2;3
9402;Tigray;Central Tigray;LAELAY MAYCHEW;Semeret 5 km Axum - Nadier South East of Axum;14-06-50-N;38-45-40-E;7;48;100;52;37;3;4
9403;Tigray;Central Tigray;LAELAY MAYCHEW;Hatsebo 6 1/2 km from Axum - Nadier;14-06-19-N;38-46-36-E;6;57;103;46;30;4;4
9404;Tigray;Central Tigray;LAELAY MAYCHEW;My shero 7 km from Axum - Nadier;14-06-19-N;38-46-36-E;6;49;99;50;40;4;4
9405;Tigray;Central Tigray;LAELAY MAYCHEW;My shero 8 km from Axum - Nadier wereda;14-05-44-N;38-47-4-E;7;56;98;42;23;2;5
